day;month;year;Univalle;Lomitas;Bengala;Gja_exp_hoeschst;Union;Apto_Farfan;Aeropuerto;Amaime;Arroyohondo;Bocas_del_Palo;Buga;Bugalagrande;Candelaria;Cartago;Cenicana;Corinto;Distrito_RUT;El_Naranjo;El_Tiple;Ginebra;Guacari;Guachinte;Jamundi;La_Paila;La_Virginia;Melendez;Miranda;Ortigal;Palmira_la_Rita;Palmira_San_Jose;Pradera;PTAR_Cali;Riofrio;Rozo;San_Marcos;Santander_de_Quilichao;Tulua;Viterbo;Yotoco;Zarzal
6;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
7;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;10,1;20;0,1;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
8;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;2,8;NA;14,3;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0,2;NA;0,1;NA;NA;NA;NA;NA;13,5;NA;0;NA;NA;NA
9;11;1993;NA;NA;NA;NA;NA;NA;NA;0,9;NA;NA;NA;NA;10,1;NA;16,7;NA;NA;17,6;NA;NA;0,2;NA;NA;0;0;20;37,2;NA;0,2;NA;NA;NA;NA;NA;7,9;NA;2,5;NA;NA;NA
10;11;1993;NA;NA;NA;NA;NA;NA;NA;1,1;NA;NA;NA;NA;1;NA;1,5;NA;NA;0,5;NA;NA;14,5;NA;NA;8,4;0;3,1;3,1;NA;1,2;NA;NA;NA;NA;NA;1,2;NA;13;NA;NA;NA
11;11;1993;NA;NA;NA;NA;NA;NA;NA;25,9;NA;NA;NA;NA;0;NA;0,2;NA;NA;19,7;NA;NA;21,3;NA;NA;0,2;1,6;2,9;0,3;NA;1,7;NA;NA;NA;NA;NA;0,1;NA;0,2;NA;NA;NA
12;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;2,7;NA;0,2;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
13;11;1993;NA;NA;NA;NA;NA;NA;NA;23,5;NA;NA;NA;NA;24,2;NA;59,5;NA;NA;30,2;NA;NA;21;NA;NA;5,5;2,6;20,3;54,9;NA;35,7;NA;NA;NA;NA;NA;73,1;NA;17,1;NA;NA;NA
14;11;1993;NA;NA;NA;NA;NA;NA;NA;30,3;NA;NA;NA;NA;16,3;NA;20,2;NA;NA;50,7;NA;NA;8,6;NA;NA;26,6;28,5;18,6;27,8;NA;6,5;NA;NA;NA;NA;NA;2,2;NA;16,3;NA;NA;NA
15;11;1993;NA;NA;NA;NA;NA;NA;NA;12,1;NA;NA;NA;NA;1,8;NA;3,6;NA;NA;25,4;NA;NA;1,4;NA;NA;0,1;11;9,1;21,8;NA;3,2;NA;NA;NA;NA;NA;0,3;NA;0,1;NA;NA;NA
16;11;1993;NA;NA;NA;NA;NA;NA;NA;5,3;NA;NA;NA;NA;0,2;NA;0,7;NA;NA;9,6;NA;NA;8,1;NA;NA;6,2;11;12,6;16,9;NA;0,6;NA;NA;NA;NA;NA;0,5;NA;18,8;NA;NA;NA
17;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,3;NA;NA;0;NA;NA;0;0,1;0;0;NA;0;NA;NA;NA;NA;NA;0,1;NA;0;NA;NA;NA
18;11;1993;NA;NA;NA;NA;NA;NA;NA;1,1;NA;NA;NA;NA;0;NA;0,6;NA;NA;9,3;NA;NA;0,2;NA;NA;0;1,6;0,2;10,8;NA;2,3;NA;NA;NA;NA;NA;0,1;NA;0,1;NA;NA;NA
19;11;1993;NA;NA;NA;NA;NA;NA;NA;0,6;NA;NA;NA;NA;0;NA;0,4;NA;NA;0;NA;NA;0,8;NA;NA;0,5;3,8;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,2;NA;NA;NA
20;11;1993;NA;NA;NA;NA;NA;NA;NA;7;NA;NA;NA;NA;1,1;NA;4,6;NA;NA;19,9;NA;NA;1,5;NA;NA;0,9;0,1;10,7;30,9;NA;5,2;NA;NA;NA;NA;NA;1;NA;1,2;NA;NA;NA
21;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
22;11;1993;NA;NA;NA;NA;NA;NA;NA;15,3;NA;NA;NA;NA;21,2;NA;3,3;NA;NA;26,9;NA;NA;1,7;NA;NA;0,1;0,6;0,5;2;NA;1,7;NA;NA;NA;NA;NA;18,4;NA;0;NA;NA;NA
23;11;1993;NA;NA;NA;NA;NA;NA;NA;36,5;NA;NA;NA;NA;20,3;NA;34,1;NA;NA;11,3;NA;NA;5,1;NA;NA;4,5;45,3;8,9;40,5;NA;13;NA;NA;NA;NA;NA;2;NA;3,5;NA;NA;NA
24;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;3,3;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
25;11;1993;NA;NA;NA;NA;NA;NA;NA;1,8;NA;NA;NA;NA;10,3;NA;23,6;NA;NA;3,5;NA;NA;4,2;NA;NA;2,9;0;18,4;14,5;NA;10,3;NA;NA;NA;NA;NA;5,9;NA;24,6;NA;NA;NA
26;11;1993;NA;NA;NA;NA;NA;NA;NA;1,9;NA;NA;NA;NA;2,4;NA;2,9;NA;NA;1,5;NA;NA;0,1;NA;NA;0,6;1;0,2;1,4;NA;0,1;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
27;11;1993;NA;NA;NA;NA;NA;NA;NA;0,7;NA;NA;NA;NA;3;NA;11,3;NA;NA;1,3;NA;NA;2,5;NA;NA;2;1,7;4,8;2,5;NA;0,7;NA;NA;NA;NA;NA;0,1;NA;0,3;NA;NA;NA
28;11;1993;NA;NA;NA;NA;NA;NA;NA;9,8;NA;NA;NA;NA;16,6;NA;5,9;NA;NA;24;NA;NA;15,6;NA;NA;11,6;15,4;3,3;10,6;NA;25,5;NA;NA;NA;NA;NA;11,7;NA;10;NA;NA;NA
29;11;1993;NA;NA;NA;NA;NA;NA;NA;6,7;NA;NA;NA;NA;5,6;NA;5,9;NA;NA;6,5;NA;NA;8,2;NA;NA;19,8;34,3;8,6;5,6;NA;10,4;NA;NA;NA;NA;NA;2,6;NA;9;NA;NA;NA
30;11;1993;NA;NA;NA;NA;NA;NA;NA;1,8;NA;NA;NA;NA;6,8;NA;4,3;NA;NA;1,1;NA;NA;1,3;NA;NA;2,2;1,7;7,3;1;NA;2,9;NA;NA;NA;NA;NA;0,3;NA;9,1;NA;NA;NA
1;12;1993;NA;NA;NA;NA;NA;NA;NA;0,2;NA;NA;NA;NA;0;NA;0;NA;NA;0,5;NA;NA;0,5;NA;NA;0;0,1;0;0,3;NA;0;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
2;12;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;2,3;NA;1,6;NA;NA;5,8;NA;NA;0;NA;NA;1,7;1,8;18,4;0,2;NA;0;NA;NA;NA;NA;NA;0;NA;0,2;NA;NA;NA
3;12;1993;NA;NA;NA;NA;NA;NA;NA;1,3;NA;NA;NA;NA;1,2;NA;1,6;NA;NA;40,9;NA;NA;0;NA;NA;0,1;1,1;0;1,9;NA;0,1;NA;NA;NA;NA;NA;0,1;NA;0,9;NA;NA;NA
4;12;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0,3;NA;NA;10,2;4,5;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
5;12;1993;NA;NA;NA;NA;NA;NA;NA;0,5;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;8,4;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
6;12;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,3;NA;NA;19;NA;NA;2,1;NA;NA;0;0,1;0;0,1;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
7;12;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,2;NA;NA;1,2;NA;NA;0;NA;NA;0;0,2;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
8;12;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;2,7;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
